pwsid,PWS_name,activity_s,owner_type,d_prin_cnt,d_populati,d_pws_fed_,d_last_inv,d_last_upd,source_tab,county_fip,state,Area_sqmi,FID_GSA_in,Basin_Numb,Basin_Subb,Basin_Name,GSA_Name,Area_sqm_1,Area_sqm_i,PercArea
CA4400598,"PURESOURCE WATER, INC",A,P,SANTA CRUZ,172,C,11/4/19 0:00,7/26/17 0:00,2/10/20 0:00,87,CA,0.149708762,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.016966689,0.113331301
CA4410010,SANTA CRUZ WATER DEPARTMENT,A,L,SANTA CRUZ,97767,C,1/21/20 0:00,6/13/18 0:00,2/10/20 0:00,87,CA,20.18797502,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,8.441206699,0.418130431
CA4400611,JARVIS MUTUAL WATER SYSTEM,A,P,SANTA CRUZ,53,C,3/7/18 0:00,2/5/15 0:00,2/10/20 0:00,87,CA,0.795936854,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.590431218,0.741806608
CA4410017,SOQUEL CREEK WATER DISTRICT,A,L,SANTA CRUZ,37720,C,8/30/19 0:00,1/9/15 0:00,2/10/20 0:00,87,CA,14.02394975,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,11.96537141,0.853209803
CA4400598,"PURESOURCE WATER, INC",A,P,SANTA CRUZ,172,C,11/4/19 0:00,7/26/17 0:00,2/10/20 0:00,87,CA,0.149708762,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.12919197,0.862955302
CA4400652,"CATHEDRAL HILLS MWC, INC",A,P,SANTA CRUZ,60,C,3/7/18 0:00,2/5/15 0:00,2/10/20 0:00,87,CA,0.082840005,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.079289902,0.957145062
CA4410018,CENTRAL WATER DISTRICT,A,L,SANTA CRUZ,2700,C,11/20/19 0:00,3/7/19 0:00,2/10/20 0:00,87,CA,4.187732223,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,4.146515793,0.990157816
CA4400502,TROUT GULCH MUTUAL WATER COMPANY,A,P,SANTA CRUZ,552,C,12/9/19 0:00,2/5/15 0:00,2/10/20 0:00,87,CA,1.529655687,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,1.519512386,0.9933689
CA4400582,PINE TREE LANE MUTUAL WATER CO,A,P,SANTA CRUZ,40,C,3/13/18 0:00,2/5/15 0:00,2/10/20 0:00,87,CA,0.01190519,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.01190519,1
CA2710023,TASCO SPRECKELS WATER COMPANY,A,P,MONTEREY,1079,C,6/26/19 0:00,11/4/15 0:00,2/10/20 0:00,53,CA,0.411395939,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.05296256,0.128738655
CA2702409,EL CAMINO WC INC,A,P,MONTEREY,90,C,12/12/19 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.086702732,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.012898295,0.148764577
CA2710019,CWSC OAK HILLS,A,P,MONTEREY,3984,C,7/19/19 0:00,5/3/19 0:00,2/10/20 0:00,53,CA,2.901137819,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.494740828,0.170533377
CA2710007,"GONZALES, CITY OF",A,L,MONTEREY,8383,C,6/26/19 0:00,8/3/15 0:00,2/10/20 0:00,53,CA,1.437306858,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.304514226,0.211864449
CA2701364,PEDRAZZI MWC,A,P,MONTEREY,273,C,1/28/19 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.073909636,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.019038477,0.25759127
CA2710012,CWSC SALINAS HILLS,A,P,MONTEREY,8213,C,7/19/19 0:00,1/9/15 0:00,2/10/20 0:00,53,CA,7.625545233,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,2.389953471,0.31341411
CA2710005,CASTROVILLE COMMUNITY SERVICES DISTRICT,A,L,MONTEREY,10000,C,9/10/19 0:00,4/15/19 0:00,2/10/20 0:00,53,CA,1.536771671,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.494740828,0.321935156
CA2701633,PARADISE RD WS #21,A,P,MONTEREY,48,C,1/28/19 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.186504134,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.065720586,0.352381389
CA2701897,BERRY DR WS #02,A,P,MONTEREY,30,C,12/12/19 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.079082019,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.028596441,0.361604839
CA2710010,CWSC SALINAS,A,P,MONTEREY,106858,C,7/19/19 0:00,8/4/15 0:00,2/10/20 0:00,53,CA,17.3774546,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,7.653974467,0.440454292
CA2701897,BERRY DR WS #02,A,P,MONTEREY,30,C,12/12/19 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.079082019,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.046432477,0.587143286
CA2710019,CWSC OAK HILLS,A,P,MONTEREY,3984,C,7/19/19 0:00,5/3/19 0:00,2/10/20 0:00,53,CA,2.901137819,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,1.716390141,0.591626544
CA2710005,CASTROVILLE COMMUNITY SERVICES DISTRICT,A,L,MONTEREY,10000,C,9/10/19 0:00,4/15/19 0:00,2/10/20 0:00,53,CA,1.536771671,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,1.042030843,0.678064844
CA2701364,PEDRAZZI MWC,A,P,MONTEREY,273,C,1/28/19 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.073909636,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.054870475,0.742399479
CA2710023,TASCO SPRECKELS WATER COMPANY,A,P,MONTEREY,1079,C,6/26/19 0:00,11/4/15 0:00,2/10/20 0:00,53,CA,0.411395939,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.358390616,0.871157399
CA2702135,FOOTHILL WA,A,P,MONTEREY,28,C,1/28/19 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.040266464,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.037840933,0.939763014
CA2700594,HIDDEN VALLEY WA,A,P,MONTEREY,51,C,2/21/19 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.134409983,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.128299447,0.954538081
CA2701263,PARTINGTON RIDGE MWC,A,P,MONTEREY,75,C,2/1/19 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.056218142,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.054870475,0.976027895
