Place,Pop16,HH16,MHI16,DAC16,Area_sqmi,FID_GSA_in,Basin_Numb,Basin_Subb,Basin_Name,GSA_Name,Area_sqm_1,Area_sqm_i,PercArea
Capitola city,10109,4472,73935,N,1.675638372,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,1.57796492,0.941709707
Santa Cruz city,63310,22088,62471,N,15.82847785,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,2.656623174,0.167838196
Salinas city,155889,40461,52338,N,23.64843541,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,7.20584453,0.304707031
Gonzales city,8401,1986,52940,N,1.928391068,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.559014135,0.289886291
El Paso de Robles (Paso Robles) city,31178,11440,61682,N,19.45647525,78,3-004,3-004.06,SALINAS VALLEY,City of Paso Robles GSA,18.81800166,18.39013791,0.945193704
Oxnard city,204752,50839,61709,N,39.20778532,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,26.69776613,0.680930226
Port Hueneme city,22126,6726,59592,N,4.670392911,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,4.428323186,0.948169302
Lodi city,63842,22374,51139,N,13.88390486,10,5-022,5-022.01,SAN JOAQUIN VALLEY,City of Lodi GSA,13.99682685,13.54277054,0.975429512
Manteca city,73570,23168,64502,N,20.57048062,6,5-022,5-022.01,SAN JOAQUIN VALLEY,City of Manteca GSA,20.91979238,20.55075021,0.999040839
Stockton city,301443,93487,46033,Y,64.74975824,8,5-022,5-022.01,SAN JOAQUIN VALLEY,City of Stockton GSA,61.46108107,60.25812491,0.930630887
Escalon city,7382,2617,65258,N,2.368207019,17,5-022,5-022.01,SAN JOAQUIN VALLEY,South San Joaquin GSA,99.74330589,2.325381604,0.981916524
Ripon city,14971,5054,79354,N,5.457725303,17,5-022,5-022.01,SAN JOAQUIN VALLEY,South San Joaquin GSA,99.74330589,5.420976937,0.993266725
Livingston city,13703,3341,55226,N,3.677806848,59,5-022,5-022.04,SAN JOAQUIN VALLEY,Merced Irrigation-Urban GSA,254.2324565,3.659849927,0.995117492
Atwater city,28906,8923,45800,Y,6.118755574,59,5-022,5-022.04,SAN JOAQUIN VALLEY,Merced Irrigation-Urban GSA,254.2324565,6.118755574,1
Merced city,81461,25443,39307,Y,23.22636473,59,5-022,5-022.04,SAN JOAQUIN VALLEY,Merced Irrigation-Urban GSA,254.2324565,23.06305916,0.992968957
