GEOID,DAC_NAME,DAC_NAMELSAD,Pop16,HH16,MHI16,DAC16,Area_sqmi,FID_GSA_in,Basin_Numb,Basin_Subb,Basin_Name,GSA_Name,Area_sqm_1,Area_sqm_i,PercArea
649488,Moss Landing,Moss Landing CDP,118,62,0,Data Not Available,0.603053714,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.478538092,0.793524824
607578,Boronda,Boronda CDP,1381,410,33712,Y,0.550454922,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.550454922,1
611978,Castroville,Castroville CDP,6978,1512,50949,Y,1.021726452,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,1.021726452,1
617232,Creston,Creston CDP,68,34,0,Data Not Available,0.568631691,80,3-004,3-004.06,SALINAS VALLEY,County of San Luis Obispo GSA - Paso Robles Area,445.9656358,0.568631691,1
668266,San Miguel,San Miguel CDP,2696,726,49464,Y,1.679048917,81,3-004,3-004.06,SALINAS VALLEY,San Miguel Community Services District GSA,2.982242189,1.612576245,0.960410521
617727,Cuyama,Cuyama CDP,80,22,26346,Y,0.457796225,74,3-013,3-013,CUYAMA VALLEY,Cuyama Basin GSA,377.6290163,0.457796225,1
651028,New Cuyama,New Cuyama CDP,551,190,45417,Y,0.705579124,74,3-013,3-013,CUYAMA VALLEY,Cuyama Basin GSA,377.6290163,0.705579124,1
657372,Piru,Piru CDP,1950,585,48068,Y,2.835157686,4,4-004,4-004.06,SANTA CLARA RIVER VALLEY,Fillmore and Piru Basins GSA - Piru,17.01010079,2.627283635,0.926679898
678232,Terminous,Terminous CDP,378,196,44808,Y,0.977352499,14,5-022,5-022.01,SAN JOAQUIN VALLEY,Central Delta Water Agency GSA,81.59719761,0.977352499,1
623630,Farmington,Farmington CDP,97,42,0,Data Not Available,2.54204517,5,5-022,5-022.01,SAN JOAQUIN VALLEY,Central San Joaquin Water Conservation District GSA,114.3589724,2.128535305,0.837331819
675000,Stockton,Stockton city,301443,93487,46033,Y,64.74975824,8,5-022,5-022.01,SAN JOAQUIN VALLEY,City of Stockton GSA,61.46108107,60.25812491,0.930630887
623630,Farmington,Farmington CDP,97,42,0,Data Not Available,2.54204517,19,5-022,5-022.01,SAN JOAQUIN VALLEY,County of San Joaquin GSA - Eastern San Joaquin 1,79.29532397,0.413509865,0.162668181
678568,Thornton,Thornton CDP,968,296,34531,Y,2.183632008,19,5-022,5-022.01,SAN JOAQUIN VALLEY,County of San Joaquin GSA - Eastern San Joaquin 1,79.29532397,2.174190879,0.99567641
638065,Kennedy,Kennedy CDP,3641,891,37674,Y,1.210985442,20,5-022,5-022.01,SAN JOAQUIN VALLEY,County of San Joaquin GSA - Eastern San Joaquin 2,10.70554262,1.026643164,0.847774984
677595,Taft Mosswood,Taft Mosswood CDP,936,309,31563,Y,0.485795962,20,5-022,5-022.01,SAN JOAQUIN VALLEY,County of San Joaquin GSA - Eastern San Joaquin 2,10.70554262,0.45237643,0.931206649
628182,Garden Acres,Garden Acres CDP,11209,2933,40196,Y,2.584464979,20,5-022,5-022.01,SAN JOAQUIN VALLEY,County of San Joaquin GSA - Eastern San Joaquin 2,10.70554262,2.472831913,0.956806122
616651,Country Club,Country Club CDP,9597,3618,43964,Y,2.086297995,20,5-022,5-022.01,SAN JOAQUIN VALLEY,County of San Joaquin GSA - Eastern San Joaquin 2,10.70554262,2.023952512,0.970116693
603209,August,August CDP,7781,2078,31194,Y,1.248935773,20,5-022,5-022.01,SAN JOAQUIN VALLEY,County of San Joaquin GSA - Eastern San Joaquin 2,10.70554262,1.237399988,0.990763508
642104,Lockeford,Lockeford CDP,3281,1197,49893,Y,8.387296612,9,5-022,5-022.01,SAN JOAQUIN VALLEY,Lockeford Community Service District GSA,1.230048605,1.226577299,0.14624227
682562,Victor,Victor CDP,579,171,0,Data Not Available,1.255187057,11,5-022,5-022.01,SAN JOAQUIN VALLEY,North San Joaquin Water Conservation District GSA,232.9419552,1.255187057,1
642104,Lockeford,Lockeford CDP,3281,1197,49893,Y,8.387296612,11,5-022,5-022.01,SAN JOAQUIN VALLEY,North San Joaquin Water Conservation District GSA,232.9419552,7.155539776,0.853140184
614708,Collierville,Collierville CDP,2318,664,49841,Y,6.604776117,11,5-022,5-022.01,SAN JOAQUIN VALLEY,North San Joaquin Water Conservation District GSA,232.9419552,6.604776117,1
681792,Valley Home,Valley Home CDP,266,69,49375,Y,1.14959682,16,5-022,5-022.01,SAN JOAQUIN VALLEY,Oakdale Irrigation District GSA,49.14287624,1.14265867,0.993964711
638065,Kennedy,Kennedy CDP,3641,891,37674,Y,1.210985442,13,5-022,5-022.01,SAN JOAQUIN VALLEY,Stockton East Water District GSA,157.2094087,0.152649124,0.126053641
626028,French Camp,French Camp CDP,3810,527,32383,Y,3.14284773,13,5-022,5-022.01,SAN JOAQUIN VALLEY,Stockton East Water District GSA,157.2094087,3.031500122,0.96457111
680882,Tuttle,Tuttle CDP,69,34,0,Data Not Available,1.758854338,59,5-022,5-022.04,SAN JOAQUIN VALLEY,Merced Irrigation-Urban GSA,254.2324565,1.758854338,1
641040,Le Grand,Le Grand CDP,1721,483,41776,Y,1.140234088,59,5-022,5-022.04,SAN JOAQUIN VALLEY,Merced Irrigation-Urban GSA,254.2324565,1.015556862,0.890656465
625488,Franklin,Franklin CDP,7586,2096,43741,Y,2.017987744,59,5-022,5-022.04,SAN JOAQUIN VALLEY,Merced Irrigation-Urban GSA,254.2324565,1.921040652,0.951958533
646898,Merced,Merced city,81461,25443,39307,Y,23.22636473,59,5-022,5-022.04,SAN JOAQUIN VALLEY,Merced Irrigation-Urban GSA,254.2324565,23.06305916,0.992968957
622286,El Nido,El Nido CDP,478,142,31957,Y,3.291765882,59,5-022,5-022.04,SAN JOAQUIN VALLEY,Merced Irrigation-Urban GSA,254.2324565,3.29058041,0.999639867
603162,Atwater,Atwater city,28906,8923,45800,Y,6.118755574,59,5-022,5-022.04,SAN JOAQUIN VALLEY,Merced Irrigation-Urban GSA,254.2324565,6.118755574,1
