Subbasin_ID,GSP_Name,GSA,GSA_Name,Domestic Wells Per GSA
5-022.07,Aliso Water District GSP,AlisoWaterDistrict,Aliso Water District,3
5-022.13,Alpaugh GSA GSP,Alpaugh,Alpaugh,3
7-024.01,Borrego Valley GSA GSP for the Borrego Springs Groundwater Subbasin,BorregoValleyGSA,Borrego Valley GSA,61
5-022.14,Buena Vista Water Storage GSA GSP,BuenaVistaWaterStorage,Buena Vista Water Storage,21
4-004.02,Fox Canyon Groundwater Management Agency GSP for Oxnard,CamrosaWaterDistrict,Camrosa Water District,1
5-022.14,Kern Groundwater Authority GSP,CaweloWaterDistrict,Cawelo Water District,23
5-022.01,Eastern San Joaquin Subbasin GSP,CentralDelta-MendotaRegionMulti-Agency,Central Delta-Mendota Region Multi-Agency,83
5-022.07,Northern & Central Delta-Mendota Region GSP,CentralDeltaWaterAgency ,Central Delta Water Agency ,20
5-022.08,Central Kings GSA GSP,CentralKings,Central Kings,1720
5-022.01,Eastern San Joaquin Subbasin GSP,CentralSanJoaquinWaterConservationDistrict,Central San Joaquin Water Conservation District,399
5-022.05,Chowchilla Subbasin GSP,ChowchillaWaterDistrict,Chowchilla Water District,338
5-022.07,San Joaquin River Exchange Contractors GSP,CityofDosPalos,City of Dos Palos,0
5-022.07,San Joaquin River Exchange Contractors GSP,CityofFirebaugh,City of Firebaugh,1
5-022.07,San Joaquin River Exchange Contractors GSP,CityofGustine,City of Gustine,3
5-022.01,Eastern San Joaquin Subbasin GSP,CityofLodi,City of Lodi,32
5-022.07,San Joaquin River Exchange Contractors GSP,CityofLosBanos,City of Los Banos,12
5-022.06,Madera Subbasin Joint GSP,CityofMadera,City of Madera,74
5-022.01,Eastern San Joaquin Subbasin GSP,CityofManteca,City of Manteca,149
3-004.01,Marina: 180/400 Foot Aquifer Subbasin GSP,CityofMarina,City of Marina,0
5-022.14,Kern Groundwater Authority GSP,CityofMcFarland,City of McFarland,2
5-022.07,San Joaquin River Exchange Contractors GSP,CityofMendota,City of Mendota,1
5-022.07,San Joaquin River Exchange Contractors GSP,CityofNewman,City of Newman,9
3-004.06,Paso Robles Subbasin GSP,CityofPasoRobles,City of Paso Robles,58
5-022.07,Northern & Central Delta-Mendota Region GSP,CityofPatterson,City of Patterson,27
5-022.01,Eastern San Joaquin Subbasin GSP,CityofStockton,City of Stockton,201
5-022.09,Wetlands Water District Westside GSP,CountyofFresno,County of Fresno,0
5-022.07,County of Fresno’s Management Area A and Mangement Area B GSP,CountyofFresnoManagementAreaA,County of Fresno Management Area A,4
5-022.07,County of Fresno’s Management Area A and Management Area B GSP,CountyofFresnoManagementAreaB,County of Fresno Management Area B,24
5-022.06,Madera Subbasin Joint GSP,CountyofMadera,County of Madera,0
5-022.07,San Joaquin River Exchange Contractors GSP,CountyofMadera,County of Madera,3490
5-022.05,Chowchilla Subbasin GSP,CountyofMadera-Chowchilla,County of Madera- Chowchilla,34
5-022.07,Grassland GSA GSP/San Joaquin River Exchange Contractors GSP,CountyofMerced,County of Merced,121
5-022.05,Chowchilla Subbasin GSP,CountyofMerced-Chowchilla,County of Merced- Chowchilla,1
3-004.01,Salinas Valley: 180/400 Foot Aquifer Subbasin GSP,CountyofMonterey,County of Monterey,0
5-022.01,Eastern San Joaquin Subbasin GSP,CountyofSanJoaquin-EasternSanJoaquin1,County of San Joaquin- Eastern San Joaquin1,186
5-022.01,Eastern San Joaquin Subbasin GSP,CountyofSanJoaquinEasternSanJoaquin2,County of San Joaquin Eastern San Joaquin2,42
3-004.06,Paso Robles Subbasin GSP,CountyofSanLuisObispo,County of San Luis Obispo,9
4-004.02,Fox Canyon Groundwater Management Agency GSP for Oxnard,CountyofVentura,County of Ventura,2
4-006,Fox Canyon Groundwater Management Agency GSP for Pleasant Valley Basin,CountyofVentura,County of Ventura,3
3-013,Cuyama GSP,CuyamaBasin,Cuyama Basin,81
5-022.13,Delano-Earlimart Irrigation District GSA GSP,Delano-EarlimartIrrigationDistrict,Delano-Earlimart Irrigation District,35
5-022.07,Northern & Central Delta-Mendota Region GSP,DM-IIGSA,DM-II GSA,89
5-022.13,Eastern Tule GSA GSP,EasternTule,Eastern Tule,690
5-022.11,East Kaweah GSA GSP,EastKaweah,East Kaweah,586
5-022.01,Eastern San Joaquin Subbasin GSP,EastsideSanJoaquin,Eastside San Joaquin,1359
5-022.12,Tulare Lake Subbasin GSP,ElRico,El Rico,44
5-022.07,Farmers Water District Delta-Mendota Subbasin GSP,FarmersWater District,Farmers Water  District,2
4-004.02,Fox Canyon Groundwater Management Agency GSP for Oxnard,FoxCanyonGroundwaterManagementAgency,Fox Canyon Groundwater Management Agency,29
4-006,Fox Canyon Groundwater Management Agency GSP for Pleasant Valley Basin,FoxCanyonGroundwaterManagementAgency,Fox Canyon Groundwater Management Agency,6
5-022.07,Grassland GSA GSP,Grasslands,Grasslands,46
5-022.06,Gravelly Ford Water District GSP,GravellyFordWaterDistrict,Gravelly Ford Water District,9
5-022.11,Greater Kaweah GSA GSP,GreaterKaweah,Greater Kaweah,1370
5-022.14,Kern River GSA GSP,GreenfieldCountyWaterDistrict,Greenfield County Water District,5
