WatersystemID,PWS,Basin-Su,Basin -_1,Latitude,Longitude,Service Co,FacilityN,WaterType,GSA_Name
CA4400502,TROUT GULCH MUTUAL WATER COMPANY,3-001,SANTA CRUZ MID-COUNTY,36.982563,-121.888397,184,WELL #1,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4400502,TROUT GULCH MUTUAL WATER COMPANY,3-001,SANTA CRUZ MID-COUNTY,36.982563,-121.888397,184,WELL #2,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4400530,LAND OF MEDICINE BUDDHA,3-001,SANTA CRUZ MID-COUNTY,37.010884,-121.934166,1,WELL #1,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4400582,PINE TREE LANE MUTUAL WATER CO,3-001,SANTA CRUZ MID-COUNTY,36.981773,-121.930274,34,WELL,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4400611,JARVIS MUTUAL WATER SYSTEM,3-001,SANTA CRUZ MID-COUNTY,37.074208,-121.958836,38,WELL,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4400619,ENCHANTED VALLEY,3-001,SANTA CRUZ MID-COUNTY,37.062495,-121.945367,66,WELL #1,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4400624,RANCHO CORRALITOS,3-001,SANTA CRUZ MID-COUNTY,36.992627,-121.923897,31,WELL,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4400659,BLUFF RESIDENTS WATER,3-001,SANTA CRUZ MID-COUNTY,36.979397,-121.931618,24,WELL #1,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4400659,BLUFF RESIDENTS WATER,3-001,SANTA CRUZ MID-COUNTY,36.979397,-121.931618,24,WELL #2,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4400663,SUN & SHADOW MUTUAL WATER CO (SSWS),3-001,SANTA CRUZ MID-COUNTY,37.008194,-122.011277,4,WELL 01,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4400710,CAMP ST FRANCIS,3-001,SANTA CRUZ MID-COUNTY,36.945788,-121.871525,1,WELL #1,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4400717,KENNOLYN CAMP,3-001,SANTA CRUZ MID-COUNTY,37.023292,-121.940018,2,WELL #1,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4400726,SEVENTH DAY ADVENTIST CAMP,3-001,SANTA CRUZ MID-COUNTY,37.011801,-121.954275,1,NORTH WELL,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4400726,SEVENTH DAY ADVENTIST CAMP,3-001,SANTA CRUZ MID-COUNTY,37.011801,-121.954275,1,SOUTH WELL,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4400756,MOUNTAIN ELEMENTARY SCHOOL,3-001,SANTA CRUZ MID-COUNTY,37.026366,-121.949048,1,WELL,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4400906,MYSTERY SPOT SNACK SHACK,3-001,SANTA CRUZ MID-COUNTY,37.016576,-122.001194,4,WELL 1,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410010,SANTA CRUZ WATER DEPARTMENT,3-001,SANTA CRUZ MID-COUNTY,36.966869,-121.968279,24394,BELTZ WELL 08 - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410010,SANTA CRUZ WATER DEPARTMENT,3-001,SANTA CRUZ MID-COUNTY,36.962317,-121.972972,24394,BELTZ WELL 09 - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410010,SANTA CRUZ WATER DEPARTMENT,3-001,SANTA CRUZ MID-COUNTY,36.962317,-121.972972,24394,BELTZ WELL 10 - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410010,SANTA CRUZ WATER DEPARTMENT,3-001,SANTA CRUZ MID-COUNTY,36.962317,-121.972972,24394,BELTZ WELL 12 - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.940805,-121.856405,14390,ALTIVO WELL - RAW - STANDBY,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.97606,-121.902356,14390,APTOS CREEK WELL - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.983333,-121.883333,14390,APTOS JR HIGH WELL - RAW/REACTIVATED,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.97606,-121.902356,14390,APTOS JR HIGH WELL NO. 2 - PENDING,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.963231,-121.869236,14390,BONITA WELL - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.961655,-121.878678,14390,COUNTRY CLUB WELL,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.983632,-121.922118,14390,ESTATES WELL - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.972281,-121.957223,14390,GARNET WELL - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.981126,-121.908377,14390,LEDYARD WELL - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.985675,-121.916979,14390,MADELINE WELL - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.991919,-121.954887,14390,MAIN STREET WELL - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.97606,-121.902356,14390,O'NEILL RANCH WELL - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.97606,-121.902356,14390,POLO GROUNDS WELL,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.987067,-121.949365,14390,ROSEDALE WELL - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.957122,-121.864547,14390,SAN ANDREAS WELL - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.950807,-121.866931,14390,SEASCAPE WELL - RAW - STANDBY,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.978509,-121.903166,14390,T. HOPKINS WELL - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410017,SOQUEL CREEK WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.986952,-121.93896,14390,TANNERY WELL 02,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410018,CENTRAL WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.999038,-121.86214,803,WELL 03 - RAW - STANDBY,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410018,CENTRAL WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.971236,-121.871807,803,WELL 04 - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410018,CENTRAL WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.999733,-121.8613,803,WELL 05 - RAW - STANDBY,GW,Santa Cruz Mid-County Groundwater Agency GSA
