pwsid,PWS_name,activity_s,owner_type,d_prin_cnt,d_populati,d_pws_fed_,Area_sqmi,FID_GSA_in,Basin_Numb,Basin_Subb,Basin_Name,GSA_Name,Area_sqm_1,Area_sqm_i,PercArea
CA4400598,"PURESOURCE WATER, INC",A,P,SANTA CRUZ,172,C,0.149708762,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.016966689,0.113331301
CA4400750,APTOS HIGH SCHOOL,A,L,SANTA CRUZ,1925,NTNC,0.091428606,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.020007316,0.218829938
CA4410010,SANTA CRUZ WATER DEPARTMENT,A,L,SANTA CRUZ,97767,C,20.18797502,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,8.441206699,0.418130431
CA4400611,JARVIS MUTUAL WATER SYSTEM,A,P,SANTA CRUZ,53,C,0.795936854,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.590431218,0.741806608
CA4410017,SOQUEL CREEK WATER DISTRICT,A,L,SANTA CRUZ,37720,C,14.02394975,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,11.96537141,0.853209803
CA4400598,"PURESOURCE WATER, INC",A,P,SANTA CRUZ,172,C,0.149708762,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.12919197,0.862955302
CA4400652,"CATHEDRAL HILLS MWC, INC",A,P,SANTA CRUZ,60,C,0.082840005,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.079289902,0.957145062
CA4410018,CENTRAL WATER DISTRICT,A,L,SANTA CRUZ,2700,C,4.187732223,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,4.146515793,0.990157816
CA4400502,TROUT GULCH MUTUAL WATER COMPANY,A,P,SANTA CRUZ,552,C,1.529655687,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,1.519512386,0.9933689
CA4400906,MYSTERY SPOT SNACK SHACK,A,P,SANTA CRUZ,500,NC,0.13464153,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.134621545,0.999851565
CA4400717,KENNOLYN CAMP,A,P,SANTA CRUZ,200,NC,0.000607216,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.000607216,1
CA4400726,SEVENTH DAY ADVENTIST CAMP,A,P,SANTA CRUZ,1000,NC,0.011183061,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.011183061,1
CA4400530,LAND OF MEDICINE BUDDHA,A,P,SANTA CRUZ,75,NTNC,0.002056368,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.002056368,1
CA4400756,MOUNTAIN ELEMENTARY SCHOOL,A,L,SANTA CRUZ,250,NTNC,0.010736719,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.010736719,1
CA4400619,ENCHANTED VALLEY,A,P,SANTA CRUZ,150,NC,0.000981845,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.000981845,1
CA4400582,PINE TREE LANE MUTUAL WATER CO,A,P,SANTA CRUZ,40,C,0.01190519,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.01190519,1
CA4400710,CAMP ST FRANCIS,A,P,SANTA CRUZ,50,NC,0.006999164,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.006999164,1
CA4400753,CABRILLO COLLEGE,A,L,SANTA CRUZ,5500,NTNC,0.094777891,31,3-001,3-001,SANTA CRUZ MID-COUNTY,Santa Cruz Mid-County Groundwater Agency GSA,56.03821591,0.094777891,1
CA2710023,TASCO SPRECKELS WATER COMPANY,A,P,MONTEREY,1079,C,0.411395939,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.05296256,0.128738655
