"GSA_Name","Number of cities","City names","Number of DAC places","DAC names","Number of Community Water Systems (CWSs)","CWS names","Number of Public Water Systems (PWSs)","PWS names","Number of Public Supply Wells"
"Central Kings GSA",1,"Selma city",5,"Bowles CDP, Del Rey CDP, Caruthers CDP, Selma city, Monmouth CDP",8,"CWS - SELMA, KINGS RIVER ESTATES MUTUAL WATER COMPANY, CARUTHERS COMM SERV DIST, KINGS PARK APARTMENTS, RUBYS VALLEY CARE HOME, TRACT 1199 WATER SYSTEM, MANNING GARDENS CARE CENTER INC, FOWLER CARE CENTER",43,"CWS - SELMA, LION RAISINS PACKING COMPANY, RIVERVIEW SCHOOL, SELMA QUICK STOP, SUPER DRIVE IN, FRESNO VALVES & CASTINGS, O'NEILL VINTNERS & DISTILLERS, AMERICAN UNION SCHOOL, BHANDAL, INC, KINGS RIVER ESTATES MUTUAL WATER COMPANY, CAMPOS BROS. FARMS, CHOOLJIAN BROS PACKING CO, CHURCH OF THE REDEEMER, U.C. KEARNEY FIELD STATION, FOSTER FARMS - CEDAR HATCHERY, JOSAN AND JOSAN, INC., CLAY JOINT ELEMENTARY SCHOOL, FOWLER PACKING COMPANY, HARRIS RANCH BEEF CO, CARUTHERS COMM SERV DIST, LONE STAR DEHYDRATOR, KINGS RIVER WINERY, POINDEXTER NUT COMPANY, KINGS PARK APARTMENTS, MONROE SCHOOL, RAY MOLES FARMS (MARKS AVE), SELMA EXXON TIGER MART, SHANT BHAVAN PUNJABI FUNERAL HOME, WEST TECH INDUSTRIAL PARK, VIE-DEL COMPANY, USDA AGRICULTURAL RESEARCH SERVICE, RUBYS VALLEY CARE HOME, CARUTHERS RAISIN PACKING CO, PACIFIC UNION ELEMENTARY SCHOOL, TRACT 1199 WATER SYSTEM, INDIANOLA SCHOOL, TERRY SCHOOL, HMC GROUP COLD STORAGE, ALVINA SCHOOL, FOUR BAR C FARMS, MANNING GARDENS CARE CENTER INC, FOWLER CARE CENTER, SELMA HIGH SCHOOL",67
"Chowchilla Water District GSA",1,"Chowchilla city",2,"Fairmead CDP, Chowchilla city",2,"CHOWCHILLA CITY WATER DEPT, MD 85 VALETA",2,"CHOWCHILLA CITY WATER DEPT, MD 85 VALETA",15
"City of Dos Palos GSA",1,"Dos Palos city",1,"Dos Palos city",1,"CITY OF DOS PALOS",1,"CITY OF DOS PALOS",NA
"City of Firebaugh GSA",1,"Firebaugh city",1,"Firebaugh city",1,"FIREBAUGH CITY",1,"FIREBAUGH CITY",3
"City of Gustine GSA",1,"Gustine city",1,"Gustine city",1,"CITY OF GUSTINE",3,"CITY OF GUSTINE, SAPUTO DAIRY FOODS USA, LLC, HILLVIEW PACKING-GUSTINE",8
"City of Lodi GSA",1,"Lodi city",NA,NA,1,"LODI, CITY OF",1,"LODI, CITY OF",30
"City of Los Banos GSA",1,"Los Banos city",1,"Los Banos city",1,"CITY OF LOS BANOS",1,"CITY OF LOS BANOS",12
"City of Madera GSA",1,"Madera city",1,"Madera city",2,"CITY OF MADERA, COUNTRY LIVING MHP",2,"CITY OF MADERA, COUNTRY LIVING MHP",21
"City of Manteca GSA",1,"Manteca city",NA,NA,2,"MANTECA, CITY OF, SOUTH SAN JOAQUIN IRRIGATION DISTRICT",2,"MANTECA, CITY OF, SOUTH SAN JOAQUIN IRRIGATION DISTRICT",18
"City of McFarland GSA",1,"McFarland city",1,"McFarland city",1,"MCFARLAND, CITY OF",1,"MCFARLAND, CITY OF",3
"City of Mendota GSA",1,"Mendota city",1,"Mendota city",1,"MENDOTA, CITY OF",1,"MENDOTA, CITY OF",1
"City of Newman GSA",1,"Newman city",NA,NA,1,"CITY OF NEWMAN-WATER DEPARTMENT",1,"CITY OF NEWMAN-WATER DEPARTMENT",4
"City of Paso Robles GSA",1,"El Paso de Robles (Paso Robles) city",NA,NA,1,"PASO ROBLES WATER DEPARTMENT",1,"PASO ROBLES WATER DEPARTMENT",24
"City of Patterson GSA",1,"Patterson city",NA,NA,NA,NA,3,"VILLA LAS FLORES, SPERRY MHP, BUEHNER WATER SYSTEM - WEBER COMPLEX",12
"City of Stockton GSA",1,"Stockton city",1,"Stockton city",4,"CALIFORNIA WATER SERVICE - STOCKTON, CITY OF STOCKTON, SAN JUAN VISTA, BENTLEY TRAILER COURT",4,"CALIFORNIA WATER SERVICE - STOCKTON, CITY OF STOCKTON, SAN JUAN VISTA, BENTLEY TRAILER COURT",49
"County of Fresno GSA - Westside",1,"Huron city",1,"Huron city",1,"HURON, CITY OF",1,"HURON, CITY OF",NA
"County of Madera GSA - Madera",1,"Chowchilla city",3,"Chowchilla city, Parksdale CDP, Fairmead CDP",12,"MADERA CO SA3-PARKSDALE, BAKMAN WATER-ROLLING HILLS, MADERA VALLEY WATER COMPANY, SA 14 CHUK CHANSE SUBDIVISION, VALLEY STATE PRISON, CENTRAL CA WOMENS FACILITY, WILDWOOD MOBILE HOME PK INC, MD 95 RANCHOS WEST, MADERA CO MD10A-MADERA RANCHOS, BONADELLE RANCHOS MUTUAL WATER, MD 33 FAIRMEAD, VALLEY TEEN RANCH",13,"MADERA CO SA3-PARKSDALE, BBPA FIRE/ARCHCOMB DOMESTIC, BAKMAN WATER-ROLLING HILLS, MADERA VALLEY WATER COMPANY, SA 14 CHUK CHANSE SUBDIVISION, VALLEY STATE PRISON, CENTRAL CA WOMENS FACILITY, WILDWOOD MOBILE HOME PK INC, MD 95 RANCHOS WEST, MADERA CO MD10A-MADERA RANCHOS, BONADELLE RANCHOS MUTUAL WATER, MD 33 FAIRMEAD, VALLEY TEEN RANCH",48
